PLAYER NAME,Ball Speed,Driving Distance,Approaches from > 100 yards,Eagles (Holes per),Putts Per Round,Birdie Average,Proximity to Hole,FedexCup Regular Season Points,Average Distance of Putts made,GIR Percentage from Fairway,Official Money,Bogey Average,Par 3 Scoring Average,Club Head Speed,Par 4 Scoring Average,Par 5 Scoring Average,Driving Accuracy Percentage,Scoring Average,Total Birdies,Total Eagles,Spin Rate,Top 10 Finishes,Sand Save Percentage,Scrambling,SG: Total,Smash Factor,Country,College
Kevin Chappell (2018),177.04,308.6,"31' 8""",190.3,29.64,3.78,"35' 7""",597,"72' 3""",77.15,"1,608,338",2.8,3.11,119.25,4.04,4.62,61.27,70.839,280,7,2654.9,4,44.07,56.28,0.323,1.485,USA,UCLA
Kevin Chappell (2019),,,,,,,,107,,,"257,024",,,,,,,,,,,1,,,,,USA,UCLA
Kevin Kisner (2015),164.95,287.8,"31' 9""",312,28.72,3.53,"34' 4""",1416,"73' 0""",75.51,"3,567,939",2.36,3.03,111.11,4.02,4.61,66.85,70.344,367,6,2470.2,6,50,62.66,0.628,1.484,USA,"University of Georgia  (2006, Business Management)"
Kevin Kisner (2016),163.71,289,"31' 3""",169.2,28.64,3.73,"35' 3""",1491,"78' 1""",77.48,"3,424,354",2.55,3.06,110.18,4.02,4.67,64.92,70.489,351,10,2413,6,44.3,56.88,0.548,1.485,USA,"University of Georgia  (2006, Business Management)"
Kevin Kisner (2017),165.15,289.5,"31' 4""",294,28.89,3.6,"35' 1""",1612,"76' 2""",76.43,"4,766,936",2.64,3.03,112.22,4.02,4.64,67.76,70.294,353,6,2782.3,8,52.14,62.06,1.043,1.472,USA,"University of Georgia  (2006, Business Management)"
Kevin Kisner (2018),164.87,290.8,"34' 11""",156,28.91,3.44,"36' 8""",971,"78' 9""",75.58,"2,972,285",2.4,3.07,112.5,4.03,4.58,66.33,70.729,268,9,2869.2,4,44,60.29,0.037,1.465,USA,"University of Georgia  (2006, Business Management)"
Kevin Kisner (2019),166.61,286.4,"32' 8""",193.5,28.66,3.67,"35' 6""",1098,"75' 2""",76.32,"3,489,144",2.37,3.05,112.2,3.99,4.63,69.39,70.416,316,8,2930.9,5,45.83,61.06,0.671,1.485,USA,"University of Georgia  (2006, Business Management)"
Kevin Stadler (2015),,,,,,,,41,,,"42,160",,,,,,,,,,,,,,,,USA,University of Southern California  (2002)
Kevin Streelman (2015),166.87,289.5,"33' 0""",273,29.65,3.49,"35' 9""",771,"71' 11""",78.51,"1,525,774",2.37,3.05,113.32,4.02,4.7,68.63,71.282,318,6,2693.2,2,47.1,58.66,0.133,1.472,USA,"Duke University  (2001, Sociology)"
Kevin Streelman (2016),165.66,289.1,"34' 0""",210.9,29.77,3.54,"35' 7""",692,"68' 8""",76.93,"1,601,177",2.7,3.08,111.82,4.04,4.71,64.37,71.054,290,7,2603.5,2,40.27,52.97,0.124,1.482,USA,"Duke University  (2001, Sociology)"
Kevin Streelman (2017),167.96,294,"31' 8""",226.3,29.47,3.44,"35' 7""",541,"70' 8""",76.79,"1,313,327",2.58,3.05,114.04,4.03,4.7,66.01,70.873,303,7,2462.1,2,49.66,60.04,0.169,1.473,USA,"Duke University  (2001, Sociology)"
Kevin Streelman (2018),169.2,295.1,"32' 10""",414,29.67,3.57,"34' 9""",673,"65' 11""",79.95,"1,523,642",2.14,3.06,114.53,3.98,4.63,69.11,70.436,328,4,2517.9,5,47.24,60.93,0.619,1.477,USA,"Duke University  (2001, Sociology)"
Kevin Streelman (2019),169.02,291.8,"33' 2""",364.5,29.37,3.77,"34' 11""",609,"68' 4""",78.41,"1,588,881",2.36,3.05,112.95,4,4.64,67.99,70.763,305,4,2373.4,4,50.37,59.86,0.669,1.496,USA,"Duke University  (2001, Sociology)"
Kevin Tway (2017),181.83,309.2,"33' 2""",158.4,28.86,3.64,"37' 9""",619,"72' 3""",80.19,"1,472,613",2.67,3.08,122.57,4.04,4.58,52.48,70.868,320,10,2532.3,3,45.7,59.03,0.433,1.484,USA,Oklahoma State University
Kevin Tway (2018),181.25,310.1,"32' 7""",156,29.15,3.76,"37' 7""",577,"71' 1""",80.65,"1,379,544",2.67,3.05,122.13,4.04,4.56,52.61,70.8,391,12,3026.3,3,49.44,56.77,0.329,1.484,USA,Oklahoma State University
Kevin Tway (2019),182.18,303.8,"35' 0""",205.7,29.19,3.56,"37' 11""",863,"67' 10""",79.35,"2,300,050",2.4,3.03,121.51,4.04,4.54,55.26,71.02,285,7,2922.3,2,50,61.05,0.143,1.499,USA,Oklahoma State University
Kramer Hickok (2019),170.04,291,"32' 3""",231,29.32,3.65,"36' 4""",250,"67' 5""",76.85,"494,424",2.55,3.1,114.18,4.02,4.6,69.25,71.243,281,6,2623.9,1,43.64,60.31,-0.287,1.489,USA,"University of Texas  (2015, Geography)"
Kyle Jones (2019),161.88,284,"35' 9""",237.6,29.5,3.27,"36' 4""",133,"70' 9""",75.32,"277,762",2.61,3.09,108.77,4.06,4.65,68.62,72.079,216,5,2701,,39,58.91,-0.634,1.488,USA,"Baylor University  (2015, Corporate Communications)"
